DC_Identifier_LocalID,DC_Title,DC_Creator,DC_Description,DC_Format,permalink,ID_again,City,lat,lon,DC_Date
200,Froggie would a wooing go,"Dietz, Charles, b. 1871?","English| Dietz added, when a boy,| ""They learned to dance| and they did right well,| Then they died| and went to Hell.""| This extra verse is on cut 2] See #245, Song catcher of Scarborough Mountain, for comparison.| [2 performances]",Sound recording,https://digital.library.wisc.edu/1711.dl/S6G74DGZ4Q5JJ8W,200,"Monroe, WI, USA",42.597234,-89.645995,9/2/1946
201,Fruhlingslied,"Mueller, Albert",Swiss folk tune,Sound recording,https://digital.library.wisc.edu/1711.dl/67UI3N2PJXKX48V,201,"New Glarus, WI, USA",42.813394,-89.634998,8/20/1940
202,Frysk folksliet,"Fennema, Andrew, Sr.| Meer, Gertrude van der","Friesland dialect| The Friesland dialect is like the Scotch, the Holland Dutch is like the Low German. The words of this anthem were written by Dr. E. Halbertsma| In the Friesland dialect, children are bairns, cows are kye, as in Scotch. Mr. Fennema finds many Friesland words in Robert Burns.| Fenna means low land, pasture land, and the ma is added by the Frieslander. Those whose names end with a or ma come from Friesland.",Sound recording,https://digital.library.wisc.edu/1711.dl/D2ORCTCEEJ5WA8I,202,"Kenosha, WI, USA",42.584327,-87.841871,8/28/1946
203,Gambler's blues,"Gordon, Bessie, b. 1901?",Bar room ballad| Mrs. Gordon used to sing the original version of the song.,Sound recording,https://digital.library.wisc.edu/1711.dl/RRCXGAZFCDIPM8P,203,"Schofield, WI, USA",44.918498,-89.609749,8/13/1941
204,Gambling man,"Whitt, Myrth, b. 1902?",Miscellaneous song,Sound recording,https://digital.library.wisc.edu/1711.dl/UCVARP2B4VWAK84,204,"Crandon, WI, USA",45.568712,-88.897293,7/28/1941
205,Gamle mor,"Waag, Hans M., b. 1886?",Norwegian,Sound recording,https://digital.library.wisc.edu/1711.dl/UJKBOW55QL3YH8L,205,"Stevens Point, WI, USA",44.51956,-89.573683,8/11/1941
206,GarÃ§on d'un boucher,"Belisle, Ernest Joseph, b. 1901?","Canadian French| 'Twas in the town where I was born,| A butcher boy I loved so well.| He courted me my heart away| And now with me he will not stay.| Oh, dig my grave so wide and deep,| A marble stone at head and feet,| Upon my breast a turtle dove| To show the world I died for love.| Mr. Belisle learned this song from his parents and grandparents.",Sound recording,https://digital.library.wisc.edu/1711.dl/77GAVDRUAWP7Z8E,206,"Somerset, WI, USA",45.130029,-92.676858,8/8/1946
207,Gems of the ballroom,"Brusoe, Leizime, b. 1870?",Old time dance music| Arrangements made by ear. Brusoe cannot read notes - McLain and Wyss are blind and the accordion player doen't use notes (although he could read).,Sound recording,https://digital.library.wisc.edu/1711.dl/RG4NPYRTR5TI58E,207,"Rhinelander, WI, USA",45.644155,-89.400934,8/14/1941
208,Girl that was rejected,"Morgan, Moses, b. 1873?| Jones, John E., Mrs., b. 1873?| Hoyer, Fred, Mrs.|  Jones, John E., b. 1870?",Welsh folk song| Moses Morgan and Mrs. John E. Jones are twin brother and sister; Mrs. Fred Hoyer is their sister.,Sound recording,https://digital.library.wisc.edu/1711.dl/ZRIZD5JSS7BHC8Z,208,"Pickett, WI, USA",43.911389,-88.729722,8/25/1940
209,Girl with the waterfall,"Lobdell, Hamilton, b. 1854?",Ballad,Sound recording,https://digital.library.wisc.edu/1711.dl/X3TYWZGZXGDRN9E,209,"Mukwonago, WI, USA",42.862336,-88.323693,6/24/1941
210,"Glade Jul, dejlige Jul","Moll, Mildred N., b. 1900?","Danish| Melody - ""Silent night.""",Sound recording,https://digital.library.wisc.edu/1711.dl/QLM2ILVG4OQYJ8J,210,"Madison, WI, USA",43.081309,-89.395609,8/26/1946
211,Good for the tongue,"Leizime Brusoe's Orchestra| Brusoe, Leizime, b. 1870?: Violin| McLain, Robert, b. 1916?: Clarinet| Wyss, Walter, b. 1911?: String bass| Olson, Emery, b. 1891?: Accordion",Old time dance music| Arrangements made by ear. Brusoe cannot read notes - McLain and Wyss are blind and the accordion player doen't use notes (although he could read).,Sound recording,https://digital.library.wisc.edu/1711.dl/PKVYJTO4IZWX485,211,"Rhinelander, WI, USA",45.644155,-89.400934,8/14/1941
212,Grandma's advice,"Price, Moody, Mrs., b. 1876?",English ditty| Mrs. Moody Price learned this from her mother who used to ride horseback around Iowa County to give music lessons.,Sound recording,https://digital.library.wisc.edu/1711.dl/2AZ6XXGWN3BYE8Y,212,"Dodgeville, WI, USA",42.964713,-90.130774,7/30/1946
213,Grape vine twist,"Muench, John, b. 1885?",Singing square-dance call| Accordion,Sound recording,https://digital.library.wisc.edu/1711.dl/5EVHCZNDEO45D8Q,213,"Lancaster, WI, USA",42.846347,-90.707772,8/23/1946
214,Green corn song,"Thunder, Henry| Stacy, Stella","Winnebago| Winnebago feast song| When the gardens are ripe, the Indians give thanks. Sometimes they dance for four nights to celebrate.",Sound recording,https://digital.library.wisc.edu/1711.dl/ITF2QSGMTLMUS8J,214,"Black River Falls, WI, USA",44.300723,-90.843263,8/15/1946
215,Green mountain,"Bundy, Winifred, b. 1884?","Miss Bundy states that this was one of her grandfather's songs and must be either English or Welsh.| Her grandfather, James D. Morgan, was born in the barracks at Manchester, England, (his father was an English soldier) in the same year that Queen Victoria was born. The reigning king granted a pension to every child born in the barracks that year, Mr. Morgan's mother was Welch (he was christened in Glamorganshire, Wales). The family came to Canada when Mr. Morgan was a boy. He came to the States during the Civil War to enlist in the army of the North.",Sound recording,https://digital.library.wisc.edu/1711.dl/OBUTYF3TKA7NQ9A,215,"Madison, WI, USA",43.081309,-89.395609,4/29/1941
216,Grudne boli,"TamburiÄa Quartet| EliaÅ¡, Charles, Jr.: Bisernica| EliaÅ¡, Martha: Piano| EliaÅ¡, Anne: Bugaria| Filipovich, Mary: Bisernica",Croatian folk instrumentals,Sound recording,https://digital.library.wisc.edu/1711.dl/MXBNERQIETSGU8U,216,"Madison, WI, USA",43.081309,-89.395609,11/15/1940
217,Gypsy Davy,"Perry, Frances",Scotch ballad (Appalachian mountain people)| This is a variant of the South Carolina version.,Sound recording,https://digital.library.wisc.edu/1711.dl/3EAG3UHLGZDD58R,217,"Black River Falls, WI, USA",44.300723,-90.843263,8/14/1946
218,Hall dig vid klippan,"Kronberg, Theodore, b. 1891?",Swedish,Sound recording,https://digital.library.wisc.edu/1711.dl/VNRJ2OERKXH5N8U,218,"Grantsburg, WI, USA",45.777786,-92.685056,8/11/1946
219,Halling,"Quisling, Dagny Veum, b. 1871?","Norwegian folk instrument| Hardanger violin| The halling is a dance for the men. It employs short semi-jig steps with a kick. The object is to kick both feet and try to knock a small cap down from the rafters. If a dancer was not good enough to do this, he could not dance with any of the girls.",Sound recording,https://digital.library.wisc.edu/1711.dl/REST6B5X5CX3E8R,219,"Madison, WI, USA",43.081309,-89.395609,5/16/1941
220,Halling,"Rindlisbacher, Otto, b. 1901?",Norwegian folk instrument| Very precious instrument -- old Norwegian -- as is the way of playing.,Sound recording,https://digital.library.wisc.edu/1711.dl/5YT5G3TGVNZ7T8X,220,"Rice Lake, WI, USA",45.503769,-91.740829,8/15/1941
221,Hans und Liesel,"Fischer, Ella Mittelstaedt, b. 1877?",German,Sound recording,https://digital.library.wisc.edu/1711.dl/QC7UXZRW3QSJT8H,221,"Mayville, WI, USA",43.498983,-88.548322,8/27/1946
223,Heel and toe polka,"Leizime Brusoe's Orchestra| Brusoe, Leizime, b. 1870?: Violin| McLain, Robert, b. 1916?: Clarinet| Wyss, Walter, b. 1911?: String bass| Olson, Emery, b. 1891?: Accordion",Old time dance music| Arrangements made by ear. Brusoe cannot read notes - McLain and Wyss are blind and the accordion player doen't use notes (although he could read).,Sound recording,https://digital.library.wisc.edu/1711.dl/YFBU3DIGUR2GY8Z,223,"Rhinelander, WI, USA",45.644155,-89.400934,8/14/1941
224,Hemlangtan,"Olson, Ruth, b. 1921?| Carlson, Alice, b. 1921?",Swedish| This is a religious song of 2nd generation Swedes.,Sound recording,https://digital.library.wisc.edu/1711.dl/2L6RM5PLKSDK68D,224,"Grantsburg, WI, USA",45.777786,-92.685056,8/11/1946
225,HÃªn brocer bach gloew fy nain,"Jones, John E., b. 1870?: Voice| Jones, John E., Mrs., b. 1873?: Accompanist","Welsh folk song| A child visited his grandmother and was attracted by the shiny poker in the fireplace. When he played with the other children he used it as a drum-major's baton. Later, when grandmother had passed away and her possessions scattered, his only keepsake was the shining poker.",Sound recording,https://digital.library.wisc.edu/1711.dl/MLUWTAQUOSPOI9C,225,"Marion, WI, USA",44.673553,-88.889653,8/26/1940
226,Hen fjon fy nain,"Jones, Hugh P., b. 1888?","Welsh folk song| Song is in word notation only. Mr. Jones says there is no music notation that he knows of.| Sentiment of the verses of the song:| 1.| My old grandmother had a stick| It was as straight as it could be| It was used before there were any railroad trains;| It carried grandmother wherver she wished to go,| Even to the grave, with never an argument.| 2.| With this stick she had help| To church up on the hill| Thru summer, winter, ice, and snow.| 3.| When but a child I used to| Skip to Granny's house| Without mother knowing| 4.| But now she has gone to her grave| She no longer needs the stick (in heaven)",Sound recording,https://digital.library.wisc.edu/1711.dl/3JMHDU2OZ725H8W,226,"Red Granite, Lohrville, WI, USA",44.036479,-89.113419,7/20/1941
227,Her er det land,"Lothe, Brithe, b. 1871?","Norwegian| ""This is the land I like the best, the homeland (Norway).""",Sound recording,https://digital.library.wisc.edu/1711.dl/3SI3OLHBOB7LV8M,227,"Milltown, WI, USA",45.526651,-92.499354,8/10/1946
228,Her hjemme,"Everson, Alice, b. 1891?",Norwegian,Sound recording,https://digital.library.wisc.edu/1711.dl/HV4YULU5AZ63C9A,228,"Blair, WI, USA",44.296263,-91.225443,8/16/1946
229,Herdgirl's Sunday,"Rindlisbacher, Otto, b. 1901?: Accordion| Rindlisbacher, Otto, Mrs., b. 1901?: Viking cello","Lumberjack instrument| Played on the so-called Viking cello, an adaptation of the lumberjack pitchfork cello.",Sound recording,https://digital.library.wisc.edu/1711.dl/L6MUW4W4TGBZZ8I,229,"Rice Lake, WI, USA",45.503769,-91.740829,8/15/1941
230,Het avondklokje,"Fennema, Andrew, Sr.",Holland Dutch,Sound recording,https://digital.library.wisc.edu/1711.dl/NPXPFUJ6IWCFU9B,230,"Kenosha, WI, USA",42.584327,-87.841871,8/28/1946
231,Hicks Carmichael,"Faulkner, Grant, b. 1870?","Negro bad man| Faulkner was not intimately acquainted, but was there when this happened.| Used to attend singing schools in Kentucky.",Sound recording,https://digital.library.wisc.edu/1711.dl/4FIVM4SOEHRB78Z,231,"Crandon, WI, USA",45.568712,-88.897293,7/28/1941
232,Highland fling,"Leizime Brusoe's Orchestra| Brusoe, Leizime, b. 1870?: Violin| McLain, Robert, b. 1916?: Clarinet| Wyss, Walter, b. 1911?: String bass| Olson, Emery, b. 1891?: Accordion",Old time dance music| Arrangements made by ear. Brusoe cannot read notes - McLain and Wyss are blind and the accordion player doen't use notes (although he could read).,Sound recording,https://digital.library.wisc.edu/1711.dl/PVM7DGZ56GCBI9B,232,"Rhinelander, WI, USA",45.644155,-89.400934,8/14/1941
233,Hod schon ans geschlagen,"Karner, Robert, b. 1878?","Austrian| Mr. Karner's translation:| It was one-o-clock| It was two-o-clock| It was three and four too.| You must get up,| You must go home.| Goodbye, my dear.",Sound recording,https://digital.library.wisc.edu/1711.dl/3GO4VFGWEXS7T8B,233,"Sheboygan, WI, USA",43.756279,-87.723689,8/30/1946
234,Holzhacker buab'm,"Mueller, Albert",Tyrolean march,Sound recording,https://digital.library.wisc.edu/1711.dl/LOITMZ37WWQU59E,234,"New Glarus, WI, USA",42.813394,-89.634998,8/20/1940
235,Homestead Strike,"Bundy, Winifred, b. 1884?",American labor union song| Miss Bundy learned this song from her oldest brother when about 6 years old.,Sound recording,https://digital.library.wisc.edu/1711.dl/GSWCVBSB3IQM38X,235,"Madison, WI, USA",43.081309,-89.395609,7/23/1946
236,Hommes,"Maes, Desire, b. 1873?","Belgian folk song| About the dispositions of men, women, boys, and girls.",Sound recording,https://digital.library.wisc.edu/1711.dl/CO7AFUAMQQR4M8P,236,"Green Bay, WI, USA",44.517447,-87.954553,8/3/1941
237,Honkain keskellÃ¤,"Hayes, Martha Leppane Voice| Nukala, Mamie Wirtane Piano",Finnish folk song| (Hoi Laari laa! Sweetly echoes my Finland with its blue skies.),Sound recording,https://digital.library.wisc.edu/1711.dl/WF5FVJCBMHCG28F,237,"Superior, WI, USA",46.705622,-92.101588,9/3/1940
238,"Hop, hop, hop, immer im galop","Meyer, Caspar A.,  b. 1861?","German nursery song| ""Hop, hop, hop| Immer im galop,| Ãœber Stock und Ã¼ber Steine,| Thu dir ja nicht weh die Beine,| Hop, hop, hop,| Immer im galop.""",Sound recording,https://digital.library.wisc.edu/1711.dl/LENFQEPTEXMQO83,238,"Madison, WI, USA",43.081309,-89.395609,11/1/1946
239,Hope song,"Stacy, Stella: Vocals| Oestreich, Nancy: Announcer","Peyote religious song| The rapid beat and chant typical of peyote music. The chant is repeated four times.| ""He is the only hope that I have, the Holy Son of God.""",Sound recording,https://digital.library.wisc.edu/1711.dl/I4MPA2ZQUBCB48X,239,"Black River Falls, WI, USA",44.300723,-90.843263,8/15/1946
240,Hounds in the woods,"Rindlisbacher, Otto, b. 1901?: Violin| Rindlisbacher, Otto, Mrs., b. 1901?: Accordion",Lumberjack,Sound recording,https://digital.library.wisc.edu/1711.dl/O7TQRLCIJFNL78O,240,"Rice Lake, WI, USA",45.503769,-91.740829,8/15/1941
241,How happy is the sportsman,"Peters, J. L., b. 1886?","Cornish folk song| Mr. Peters learned this song from his father, and his grand-father before him.| Bowena is the fox.",Sound recording,https://digital.library.wisc.edu/1711.dl/YV7A5WZV4VSPQ8O,241,"Beloit, WI, USA",42.510674,-89.033751,8/21/1946
242,How they sang the Marsellaise in Chippewa Falls (story),"Cardinal, Charles, b. 1889?",French Canadian,Sound recording,https://digital.library.wisc.edu/1711.dl/2MWOF62OJISYV8A,242,"Chippewa Falls, WI, USA",44.933577,-91.388875,8/13/1946
243,Hugen,"Lothe, Brithe, b. 1871?",Norwegian,Sound recording,https://digital.library.wisc.edu/1711.dl/GFFPC5SD37PDY8L,243,"Milltown, WI, USA",45.526651,-92.499354,8/10/1946
244,Hunters' chorus,"Fowler, James H., Mrs., b. 1872?",Early American| This round is about 100-125 years old. It was quite often used at the end of the school year at the exhibitions.,Sound recording,https://digital.library.wisc.edu/1711.dl/3ZP2F5K5RJ4QR82,244,"Lancaster, WI, USA",42.846347,-90.707772,8/23/1946
245,Husmanden's klagesang,"Everson, Alice, b. 1891?",Norwegian| Complaint of the peasant farmer.,Sound recording,https://digital.library.wisc.edu/1711.dl/G7A6VJGPQVW2M8T,245,"Blair, WI, USA",44.296263,-91.225443,8/16/1946
246,I heard old master pray last night,"Lobdell, Hamilton, b. 1854?","Slave song| Adaptation of words to tune of ""Oh Susanna.""",Sound recording,https://digital.library.wisc.edu/1711.dl/HBWHCIHIKCGJV8R,246,"Mukwonago, WI, USA",42.862336,-88.323693,6/24/1941
247,I never will marry,"Bundy, Winifred, b. 1884?",This song was one she heard her grandparents sing. It used to contain endless verses with the singer making up verses to suit the occasion.,Sound recording,https://digital.library.wisc.edu/1711.dl/4ZMKT4L3OATFE8K,247,"Madison, WI, USA",43.081309,-89.395609,4/29/1941
248,I once had two handfuls of gold,"Borusky, Pearl Jacobs, b. 1901?",Kaintuck folk song| Not to be found in the collection of Ascher E. Treat.,Sound recording,https://digital.library.wisc.edu/1711.dl/2LOMNKBD4F5MP9B,248,"Antigo, WI, USA",45.142765,-89.156261,8/30/1940
249,I once knew a little girl,"Borusky, Pearl Jacobs, b. 1901?",Kaintuck folk song,Sound recording,https://digital.library.wisc.edu/1711.dl/6UB5ZORPY6PIS8U,249,"Antigo, WI, USA",45.142765,-89.156261,8/30/1940
250,I sommar kvabl,"Jotblod, Abel, b. 1896?",Swedish,Sound recording,https://digital.library.wisc.edu/1711.dl/UYEYMWPJQINQU9A,250,"Grantsburg, WI, USA",45.777786,-92.685056,8/11/1946
251,I stood upon the sand bank,"Borusky, Pearl Jacobs, b. 1901?",Kaintuck folk song,Sound recording,https://digital.library.wisc.edu/1711.dl/N5JJLHZLOLBFI8R,251,"Antigo, WI, USA",45.142765,-89.156261,8/30/1940
252,I villande skogen,"Lindberg, A. C., b. 1889?",Swedish,Sound recording,https://digital.library.wisc.edu/1711.dl/FIK5KYJ2VVYP784,252,"Grantsburg, WI, USA",45.777786,-92.685056,8/10/1946
253,I went down to New Orleans,"Moody, Lewis Winfield, b. 1865?",Vulgar,Sound recording,https://digital.library.wisc.edu/1711.dl/4B3CLCK6XESJK9A,253,"Plainfield, WI, USA",44.213709,-89.494963,7/21/1941
254,I went to market,"Tie, Al van der","Wisconsin folk song| Mr. Van Der Tie learned this song, a mixture of English and French dialect, from Gust Mathey, an old resident of Brussels.",Sound recording,https://digital.library.wisc.edu/1711.dl/EEYBNIE66KXKJ9C,254,"Brussels, WI, USA",44.719135,-87.580459,8/24/1940
255,"I'll sell my hat, I'll sell my coat","Borusky, Pearl Jacobs, b. 1901?",Kaintuck folk song,Sound recording,https://digital.library.wisc.edu/1711.dl/FR2ZP5QW4XK378B,255,"Antigo, WI, USA",45.142765,-89.156261,8/30/1940
256,I'm in love with a typical Tipperary Miss,"Coffee, Lester A., b. 1871?",Sentimental ballad| Mr. Coffee enjoys singing this one because of the Irish brogue it calls for.,Sound recording,https://digital.library.wisc.edu/1711.dl/IKWJMAOUGM5HN8K,256,"Harvard, IL, USA",42.420737,-88.613519,8/20/1946
257,I've been spending six long months in Fond du Lac Jail,"Robinson, Charles, b. 1865?","Wisconsin lumberjack| Incomplete (only 2 verses - should be about 7). To be used to demonstrate, in search of complete song.",Sound recording,https://digital.library.wisc.edu/1711.dl/M5KX3QXCMZS6R9D,257,"Marion, WI, USA",44.673553,-88.889653,7/20/1941
258,I've got a motto,"Levers, Eryl, b. 1922?",Cockney,Sound recording,https://digital.library.wisc.edu/1711.dl/4W4WTZ6TERZVS8F,258,"Madison, WI, USA",43.081309,-89.395609,7/26/1946
259,Ifjor gjett eg gjeiten,"Lothe, Brithe, b. 1871?","Norwegian| It was last year she was herding the goat, but now this year she is tending the baby. Last year she could dance; now she can not. She will not believe another man even if he has his shoulders under the water. But don't laugh, the same thing may happen to you.",Sound recording,https://digital.library.wisc.edu/1711.dl/4JQ3DWT3VCOCU8N,259,"Milltown, WI, USA",45.526651,-92.499354,8/10/1946
260,In a far off golden west,"Tester, Lee, b. 1878?",Prospector's song| Lee learned this song from his mother. His mother learned it from her father.,Sound recording,https://digital.library.wisc.edu/1711.dl/BC4M27ZI6TWYA8R,260,"Rhinelander, WI, USA",45.644155,-89.400934,7/27/1941
261,In des Gartens dunkles Laube,"Fischer, Ella Mittelstaedt, b. 1877?",German,Sound recording,https://digital.library.wisc.edu/1711.dl/RDYGZR7GDDW6R8L,261,"Mayville, WI, USA",43.498983,-88.548322,8/27/1946
262,In lonely moments,"Psalmodikon Quartet| Thompson, Elsie, b. 1866?: Soprano| Larson, Bertha, b. 1906?: Alto| Flugstad, Herbert, Mrs., b. 1901?: Tenor| Erickson, Nora, b. 1891?: Bass",Norwegian folk instruments,Sound recording,https://digital.library.wisc.edu/1711.dl/46W45CTFQP5JS9C,262,"Madison, WI, USA",43.081309,-89.395609,5/16/1941
263,Ina Skillen,"Bundy, Winifred, b. 1884?","Civil War ballad| Miss Bundy regrets that she only knows the chorus of this old Irish song. It is about a dragoon who asked his love to be true while he left for the war. Apparently he didn't trust her, for he came back in disguise, but he got fooled, for either she knew him or really had been faithful.",Sound recording,https://digital.library.wisc.edu/1711.dl/ZIAWRCECQPJQT85,263,"Madison, WI, USA",43.081309,-89.395609,4/29/1941
264,Interview,"Morgan, William Jacob, b. 1870?",none,Sound recording,https://digital.library.wisc.edu/1711.dl/PGSAVFZKP5XPF8Z,264,"Berlin, WI, USA",43.968582,-88.952344,8/4/1946
265,Invitation to the Kermess,"Tie, Al van der",Wisconsin folk song| An old tune to which words inviting visitors to the Brussels Kermess have been set. Kermess is held Labor Day and the Sunday preceding.,Sound recording,https://digital.library.wisc.edu/1711.dl/WN7BH7QIJS6RC87,265,"Brussels, WI, USA",44.719135,-87.580459,8/24/1940
266,Irish jubilee,"Puty, F. S., b. 1872?","Entertainer's song| This man picked this up from having heard others sing it. He doesn't know whether this is folk or not, but has never known it to be published.",Sound recording,https://digital.library.wisc.edu/1711.dl/4MZES4DLDKC2D8L,266,"Almond, WI, USA",44.261405,-89.408716,7/21/1941
267,Irish jubilee,"Noyer, Emery De, b. 1878?",Entertainer's song,Sound recording,https://digital.library.wisc.edu/1711.dl/GXCIFJQTUTX4C8M,267,"Rhinelander, WI, USA",45.644155,-89.400934,7/27/1941
268,Irish Molly-O,"Sheehy, Patrick, b. 1874?","Irish| It was necessary to record this as a feeder for the ocean chanty ""Decks of Baltimore.""",Sound recording,https://digital.library.wisc.edu/1711.dl/DOC5ZDXDSNV2Z8N,268,"Prairie du Chien, WI, USA",43.042549,-91.141425,8/19/1941
269,Dance calls,"Persons, John, b. 1859?",Old time dance music,Sound recording,https://digital.library.wisc.edu/1711.dl/X6ADQF66YIMXD85,269,"Madison, WI, USA",43.081309,-89.395609,8/3/1946
270,Irish washerwoman,"Muench, John, b. 1885?","Singing square-dance call| Mr. Muench first heard this call in 1912, from Mr. Ted Holtkamp, of Mexico, Missouri, who came to Lancaster at that time.",Sound recording,https://digital.library.wisc.edu/1711.dl/C5NZPJ6SFAFNV83,270,"Lancaster, WI, USA",42.846347,-90.707772,8/23/1946
271,J'ai fait une maitresse,"Belisle, Ernest Joseph, b. 1901?",Canadian French| He found a new girlfriend. On Monday he will ask her to marry him. On Tuesday he will marry her.,Sound recording,https://digital.library.wisc.edu/1711.dl/AWMBRXCRTALBK8D,271,"Somerset, WI, USA",45.130029,-92.676858,8/9/1946
272,J'etai garÃ§on Ã  marier,"Vanasse, Adelord Joseph, b. 1877?",Canadian French,Sound recording,https://digital.library.wisc.edu/1711.dl/VXGVRJTXYHXD39C,272,"Somerset, WI, USA",45.130029,-92.676858,8/9/1946
273,Juz ty nie zapomniales Jasiulenku moj,"Pokora, Stasia","Polish| This is another boy and girl song. She says, ""Why do you not love me anymore?"" He says, ""Too bad, but it is too late, it's all over.""",Sound recording,https://digital.library.wisc.edu/1711.dl/LD26N6V335ECC8H,273,"Milwaukee, WI, USA",43.063146,-87.948334,8/29/1946
274,JabÅ‚oneczka,"Pokora, Stasia","Polish| The text of the song is something like this. ""Who is coming to gather the apples from my tree?  Johnny used to do so, but now he is angry with me and I don't know why.""",Sound recording,https://digital.library.wisc.edu/1711.dl/ZHOIPTQJVHZJ58Z,274,"Milwaukee, WI, USA",43.063146,-87.948334,8/29/1946
275,Jag har en vÃ¤n,"Lindberg, A. C., b. 1889?| Olson, Orrin, b. 1911?",Swedish| This is a religious song.,Sound recording,https://digital.library.wisc.edu/1711.dl/CG5I2K7SBRTIM85,275,"Grantsburg, WI, USA",45.777786,-92.685056,8/11/1946
276,Jam on Gerry's rock,"Grant, Dan",This disaster occurred in Michigan and is remembered by most of the older lumberjacks in Wisconsin.,Sound recording,https://digital.library.wisc.edu/1711.dl/VNUOFGN7C75ZD9A,276,"Bryant, WI, USA",45.208056,-89.023889,8/30/1940
277,Jam on Gerry's rock,"Williams, Adolf, b. 1885?",Lumberjack,Sound recording,https://digital.library.wisc.edu/1711.dl/H3IRGHJQSHIJB8G,277,"Hayward, WI, USA",46.008889,-91.482601,8/13/1946
278,Jam on Gerry's rock,"Noyer, Emery De, b. 1878?",Lumberjack| Mr. De Noyer is blind and has only one arm. All his life he has been a lumber camp entertainer.,Sound recording,https://digital.library.wisc.edu/1711.dl/OLUDHIFWB6GJQ8U,278,"Rhinelander, WI, USA",45.644155,-89.400934,7/27/1941
279,Jam on Gerry's rock,"Taplin, Bert, b. 1854?","Lumberjack| Bert probably suffers from stage fright, besides it has been many years, (30) since he has sung these songs. Lumberjack since age of 14-50. Began as ""swamper"" and ended as foreman.",Sound recording,https://digital.library.wisc.edu/1711.dl/DJUH67OK34PJB82,279,"Wautoma, WI, USA",44.070467,-89.28797,7/21/1941
280,Ã… jÃ¤nta Ã¥ ja,"Jotblod, Abel, b. 1896?","Swedish| He meets the girl on the road. They go to the dance, they become engaged and get married.| Mr. Jotblod is a second generation Swede.",Sound recording,https://digital.library.wisc.edu/1711.dl/7NXT37JX2XEV48H,280,"Grantsburg, WI, USA",45.777786,-92.685056,8/11/1946
281,Jardiniere,"Phaneuf, Rosa Marrisette, b. 1881?","Canadian French| Mrs. Phaneuf learned this song from her uncle Joe Durande.| A woman had a lover. She hears her husband coming and hides the lover in a chest. The husband tells his wife he is leaving her and is going to sell the furniture at auction. He is not offered enough for the chest so he decides to burn it. Then the lover calls out that he will pay all he wants for the chest. ""I almost paid for a kiss by being burned to death.""",Sound recording,https://digital.library.wisc.edu/1711.dl/MBG2EIEY5ABXR8J,281,"Somerset, WI, USA",45.130029,-92.676858,8/8/1946
282,"Jatgato, tune 1",Oneida Indians of the Oneida Methodist and Episcopal Churches,"Religious - Oneida| ""Oh Lord, --""| These same words are sung to many different tunes.| #15 in the W.P.A prepared booklet.",Sound recording,https://digital.library.wisc.edu/1711.dl/3LRRTA362SAT38U,282,"Oneida, WI, USA",44.475504,-88.243735,9/1/1946
283,"Jatgato, tune 2",Oneida Indians of the Oneida Methodist and Episcopal Churches,"Religious - Oneida| These words are the same as the ""Jatgato"" sung on [AFS 8463 B1], but the tune is different.",Sound recording,https://digital.library.wisc.edu/1711.dl/4AD4ZRX63AS3F8Q,283,"Oneida, WI, USA",44.475504,-88.243735,9/1/1946
284,"Jatgato, tune 3",Oneida Indians of the Oneida Methodist and Episcopal Churches,"Religious - Oneida| Translatio ""Oh, for a thousand tongues to sing"" (C. Wesley)| Compare with ""Lyngham,"" Chapel hymns.| Reverend Wenberg, pastor of the Oneida Methodist Church, said that the District Superintendent said he had never heard this melody in this country before, but that it is used in Ireland a great deal.",Sound recording,https://digital.library.wisc.edu/1711.dl/YHRBPL74TSJQA8W,284,"Oneida, WI, USA",44.475504,-88.243735,9/1/1946
285,"Jatgato, tune 4","Smith, Wallace| Webster, Albert","Oneida - Religious| Melody: ""Lord, I'm coming home.""| Words: #15 in the W.P.A. prepared booklet.",Sound recording,https://digital.library.wisc.edu/1711.dl/QUKM7OGFQFRAL8R,285,"Oneida, WI, USA",44.475504,-88.243735,9/1/1946
286,Je ne vent pas d'un avocat,"Belisle, Ernest Joseph, b. 1901?","Canadian French| The girl does not want a lawyer, nor a shoemaker, nor a farmer. She makes up her mind, she wants an officer.",Sound recording,https://digital.library.wisc.edu/1711.dl/5EEDFNQGVDIFK8H,286,"Somerset, WI, USA",45.130029,-92.676858,8/8/1946
287,Jeftanovicero| Officirakocevo| Srbkinja,"TamburiÄa Quartet| EliaÅ¡, Charles, Jr.: Bisernica| EliaÅ¡, Martha: Piano",Kolos - Croatian national dance,Sound recording,https://digital.library.wisc.edu/1711.dl/V2NKJZSAI6BDE8T,287,"Madison, WI, USA",43.081309,-89.395609,11/15/1940
288,Jig,"Brusoe, Leizime, b. 1870?",Old time dance music| Calls it Morton reel because he heard a man named Morton play it.,Sound recording,https://digital.library.wisc.edu/1711.dl/4TYVXRNJ6ZEBE8J,288,"Rhinelander, WI, USA",45.644155,-89.400934,8/14/1941
289,Jim Blake,"Brown, Noble B., b. 1885?","Railway song| Mr. Brown learned this song from his mother. It is older than ""Casey Jones.""",Sound recording,https://digital.library.wisc.edu/1711.dl/KES7DEM7ORHO68S,289,"Millville, WI, USA",43.01865,-90.93917,11/17/1946
