DC_Identifier_LocalID,DC_Title,DC_Title_Other,DC_Creator,DC_Contributor,DC_Subject,DC_Description,DC_Publisher,DC_Date,DC_Type,DC_Format,DC_Identifier,DC_Identifier_LocalID,DC_Source,DC_Language,DC_Relation,DC_Relation_OtherFormat,DC_Relation_IsPartOf,DC_Relation_HasPart,DC_Coverage,Note,permalink,ID_again,City,lat,lon,status
257,I've been spending six long months in Fond du Lac Jail,,"Robinson, Charles, b. 1865?",,Voice| Loggers| Wisconsin,"Wisconsin lumberjack| Incomplete (only 2 verses - should be about 7). To be used to demonstrate, in search of complete song.",,7/20/1941,Sound| Text,Sound recording,,,eng,,,,,Spatial: Marion (Wis.),,,https://digital.library.wisc.edu/1711.dl/M5KX3QXCMZS6R9D,257,"Marion, WI, USA",44.673553,-88.889653,success
258,I've got a motto,I've got a matter,"Levers, Eryl, b. 1922?",,English| Voice,Cockney,,7/26/1946,Sound,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 284",,,,Spatial: Madison (Wis.),,,https://digital.library.wisc.edu/1711.dl/4W4WTZ6TERZVS8F,258,"Madison, WI, USA",43.081309,-89.395609,success
259,Ifjor gjett eg gjeiten,,"Lothe, Brithe, b. 1871?",,Norwegian| Vocal duet,"Norwegian| It was last year she was herding the goat, but now this year she is tending the baby. Last year she could dance; now she can not. She will not believe another man even if he has his shoulders under the water. But don't laugh, the same thing may happen to you.",,8/10/1946,Sound,Sound recording,,,nor,,,,,Spatial: Milltown (Wis.),,,https://digital.library.wisc.edu/1711.dl/4JQ3DWT3VCOCU8N,259,"Milltown, WI, USA",45.526651,-92.499354,success
260,In a far off golden west,,"Tester, Lee, b. 1878?",,Voice| Gold miners,Prospector's song| Lee learned this song from his mother. His mother learned it from her father.,,7/27/1941,Sound| Text,Sound recording,,,eng,,,,,Spatial: Rhinelander (Wis.),,,https://digital.library.wisc.edu/1711.dl/BC4M27ZI6TWYA8R,260,"Rhinelander, WI, USA",45.644155,-89.400934,success
261,In des Gartens dunkles Laube,,"Fischer, Ella Mittelstaedt, b. 1877?",,German| Voice,German,,8/27/1946,Sound,Sound recording,,,ger,,,,,Spatial: Mayville (Wis.),,,https://digital.library.wisc.edu/1711.dl/RDYGZR7GDDW6R8L,261,"Mayville, WI, USA",43.498983,-88.548322,success
262,In lonely moments,,"Psalmodikon Quartet| Thompson, Elsie, b. 1866?: Soprano| Larson, Bertha, b. 1906?: Alto| Flugstad, Herbert, Mrs., b. 1901?: Tenor| Erickson, Nora, b. 1891?: Bass","Bull, Ole, 1810-1880: Composer",Norwegian| Psalmodikon music,Norwegian folk instruments,,5/16/1941,Sound,Sound recording,,,,,,,,Spatial: Madison (Wis.),,,https://digital.library.wisc.edu/1711.dl/46W45CTFQP5JS9C,262,"Madison, WI, USA",43.081309,-89.395609,success
263,Ina Skillen,,"Bundy, Winifred, b. 1884?",,Irish| Voice| United States--History--Civil War--1861-1865,"Civil War ballad| Miss Bundy regrets that she only knows the chorus of this old Irish song. It is about a dragoon who asked his love to be true while he left for the war. Apparently he didn't trust her, for he came back in disguise, but he got fooled, for either she knew him or really had been faithful.",,4/29/1941,Sound| Text,Sound recording,,,eng,,,,,Spatial: Madison (Wis.),,,https://digital.library.wisc.edu/1711.dl/ZIAWRCECQPJQT85,263,"Madison, WI, USA",43.081309,-89.395609,success
264,Interview,,"Morgan, William Jacob, b. 1870?",,Spoken,,,8/4/1946,Sound,Sound recording,,,eng,,,,,Spatial: Berlin (Wis.),,,https://digital.library.wisc.edu/1711.dl/PGSAVFZKP5XPF8Z,264,"Berlin, WI, USA",43.968582,-88.952344,success
265,Invitation to the Kermess,,"Tie, Al van der",,Voice| Wisconsin,Wisconsin folk song| An old tune to which words inviting visitors to the Brussels Kermess have been set. Kermess is held Labor Day and the Sunday preceding.,,8/24/1940,Sound,Sound recording,,,eng,,,,,Spatial: Brussels (Wis.),,,https://digital.library.wisc.edu/1711.dl/WN7BH7QIJS6RC87,265,"Brussels, WI, USA",44.719135,-87.580459,success
266,Irish jubilee,,"Puty, F. S., b. 1872?",,Irish| Voice,"Entertainer's song| This man picked this up from having heard others sing it. He doesn't know whether this is folk or not, but has never known it to be published.",,7/21/1941,Sound| Text,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 266",,,,Spatial: Almond (Wis.),,,https://digital.library.wisc.edu/1711.dl/4MZES4DLDKC2D8L,266,"Almond, WI, USA",44.261405,-89.408716,success
267,Irish jubilee,,"Noyer, Emery De, b. 1878?",,Voice| Entertainer,Entertainer's song,,7/27/1941,Sound| Text,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 266",,,,Spatial: Rhinelander (Wis.),,,https://digital.library.wisc.edu/1711.dl/GXCIFJQTUTX4C8M,267,"Rhinelander, WI, USA",45.644155,-89.400934,success
268,Irish Molly-O,,"Sheehy, Patrick, b. 1874?",,Voice| Sea songs,"Irish| It was necessary to record this as a feeder for the ocean chanty ""Decks of Baltimore.""",,8/19/1941,Sound| Text,Sound recording,,,eng,,,,,Spatial: Prairie du Chien (Wis.),,,https://digital.library.wisc.edu/1711.dl/DOC5ZDXDSNV2Z8N,268,"Prairie du Chien, WI, USA",43.042549,-91.141425,success
269,Dance calls,Irish washerwoman,"Persons, John, b. 1859?",,Voice| Dances,Old time dance music,,8/3/1946,Sound| Text,Sound recording,,,eng,,,,,Spatial: Madison (Wis.),,,https://digital.library.wisc.edu/1711.dl/X6ADQF66YIMXD85,269,"Madison, WI, USA",43.081309,-89.395609,success
270,Irish washerwoman,,"Muench, John, b. 1885?",,Voice and accordion| Dances,"Singing square-dance call| Mr. Muench first heard this call in 1912, from Mr. Ted Holtkamp, of Mexico, Missouri, who came to Lancaster at that time.",,8/23/1946,Sound,Sound recording,,,eng,,,,,Spatial: Lancaster (Wis.),,,https://digital.library.wisc.edu/1711.dl/C5NZPJ6SFAFNV83,270,"Lancaster, WI, USA",42.846347,-90.707772,success
271,J'ai fait une maitresse,,"Belisle, Ernest Joseph, b. 1901?",,French-Canadian| Voice| Love,Canadian French| He found a new girlfriend. On Monday he will ask her to marry him. On Tuesday he will marry her.,,8/9/1946,Sound,Sound recording,,,fre,,,,,Spatial: Somerset (Wis.),,,https://digital.library.wisc.edu/1711.dl/AWMBRXCRTALBK8D,271,"Somerset, WI, USA",45.130029,-92.676858,success
272,J'etai garÃ§on Ã  marier,,"Vanasse, Adelord Joseph, b. 1877?",,French-Canadian| Voice,Canadian French,,8/9/1946,Sound,Sound recording,,,fre,,,,,Spatial: Somerset (Wis.),,,https://digital.library.wisc.edu/1711.dl/VXGVRJTXYHXD39C,272,"Somerset, WI, USA",45.130029,-92.676858,success
273,Juz ty nie zapomniales Jasiulenku moj,,"Pokora, Stasia",,Polish| Voice| Love,"Polish| This is another boy and girl song. She says, ""Why do you not love me anymore?"" He says, ""Too bad, but it is too late, it's all over.""",,8/29/1946,Sound,Sound recording,,,pol,,,,,Spatial: Milwaukee (Wis.),,,https://digital.library.wisc.edu/1711.dl/LD26N6V335ECC8H,273,"Milwaukee, WI, USA",43.063146,-87.948334,success
274,JabÅ‚oneczka,My apple tree,"Pokora, Stasia",,Polish| Voice,"Polish| The text of the song is something like this. ""Who is coming to gather the apples from my tree?  Johnny used to do so, but now he is angry with me and I don't know why.""",,8/29/1946,Sound,Sound recording,,,pol,,,,,Spatial: Milwaukee (Wis.),,,https://digital.library.wisc.edu/1711.dl/ZHOIPTQJVHZJ58Z,274,"Milwaukee, WI, USA",43.063146,-87.948334,success
275,Jag har en vÃ¤n,I have a friend,"Lindberg, A. C., b. 1889?| Olson, Orrin, b. 1911?",,Swedish| Vocal duet| Religious,Swedish| This is a religious song.,,8/11/1946,Sound,Sound recording,,,swe,,,,,Spatial: Grantsburg (Wis.),,,https://digital.library.wisc.edu/1711.dl/CG5I2K7SBRTIM85,275,"Grantsburg, WI, USA",45.777786,-92.685056,success
276,Jam on Gerry's rock,,"Grant, Dan",,Voice and guitar| Loggers,This disaster occurred in Michigan and is remembered by most of the older lumberjacks in Wisconsin.,,8/30/1940,Sound| Text,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 92",,,,Spatial: Bryant (Wis.),,,https://digital.library.wisc.edu/1711.dl/VNUOFGN7C75ZD9A,276,"Bryant, WI, USA",45.208056,-89.023889,success
277,Jam on Gerry's rock,,"Williams, Adolf, b. 1885?",,Voice| Loggers,Lumberjack,,8/13/1946,Sound| Text,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 92",,,,Spatial: Hayward (Wis.),,,https://digital.library.wisc.edu/1711.dl/H3IRGHJQSHIJB8G,277,"Hayward, WI, USA",46.008889,-91.482601,success
278,Jam on Gerry's rock,,"Noyer, Emery De, b. 1878?",,Voice| Loggers,Lumberjack| Mr. De Noyer is blind and has only one arm. All his life he has been a lumber camp entertainer.,,7/27/1941,Sound| Text,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 92",,,,Spatial: Rhinelander (Wis.),,,https://digital.library.wisc.edu/1711.dl/OLUDHIFWB6GJQ8U,278,"Rhinelander, WI, USA",45.644155,-89.400934,success
279,Jam on Gerry's rock,,"Taplin, Bert, b. 1854?",,Voice| Loggers,"Lumberjack| Bert probably suffers from stage fright, besides it has been many years, (30) since he has sung these songs. Lumberjack since age of 14-50. Began as ""swamper"" and ended as foreman.",,7/21/1941,Sound| Text,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 92",,,,Spatial: Wautoma (Wis.),,,https://digital.library.wisc.edu/1711.dl/DJUH67OK34PJB82,279,"Wautoma, WI, USA",44.070467,-89.28797,success
280,Ã… jÃ¤nta Ã¥ ja,Girl and I,"Jotblod, Abel, b. 1896?",,Swedish| Voice| Love,"Swedish| He meets the girl on the road. They go to the dance, they become engaged and get married.| Mr. Jotblod is a second generation Swede.",,8/11/1946,Sound,Sound recording,,,swe,,,,,Spatial: Grantsburg (Wis.),,,https://digital.library.wisc.edu/1711.dl/7NXT37JX2XEV48H,280,"Grantsburg, WI, USA",45.777786,-92.685056,success
281,Jardiniere,Gardener,"Phaneuf, Rosa Marrisette, b. 1881?",,French-Canadian| Voice| Love,"Canadian French| Mrs. Phaneuf learned this song from her uncle Joe Durande.| A woman had a lover. She hears her husband coming and hides the lover in a chest. The husband tells his wife he is leaving her and is going to sell the furniture at auction. He is not offered enough for the chest so he decides to burn it. Then the lover calls out that he will pay all he wants for the chest. ""I almost paid for a kiss by being burned to death.""",,8/8/1946,Sound,Sound recording,,,fre,,,,,Spatial: Somerset (Wis.),,,https://digital.library.wisc.edu/1711.dl/MBG2EIEY5ABXR8J,281,"Somerset, WI, USA",45.130029,-92.676858,success
282,"Jatgato, tune 1",,Oneida Indians of the Oneida Methodist and Episcopal Churches,,Oneida| Voices| Religious,"Religious - Oneida| ""Oh Lord, --""| These same words are sung to many different tunes.| #15 in the W.P.A prepared booklet.",,9/1/1946,Sound,Sound recording,,,iro,,,,,Spatial: Oneida (Wis.),,,https://digital.library.wisc.edu/1711.dl/3LRRTA362SAT38U,282,"Oneida, WI, USA",44.475504,-88.243735,success
283,"Jatgato, tune 2",,Oneida Indians of the Oneida Methodist and Episcopal Churches,,Oneida| Voices| Religious,"Religious - Oneida| These words are the same as the ""Jatgato"" sung on [AFS 8463 B1], but the tune is different.",,9/1/1946,Sound,Sound recording,,,iro,,,,,Spatial: Oneida (Wis.),,,https://digital.library.wisc.edu/1711.dl/4AD4ZRX63AS3F8Q,283,"Oneida, WI, USA",44.475504,-88.243735,success
284,"Jatgato, tune 3",Lyngham,Oneida Indians of the Oneida Methodist and Episcopal Churches,"Wesley, Charles, 1707-1788: Lyrics",Oneida| Voices| Religious,"Religious - Oneida| Translation: ""Oh, for a thousand tongues to sing"" (C. Wesley)| Compare with ""Lyngham,"" Chapel hymns.| Reverend Wenberg, pastor of the Oneida Methodist Church, said that the District Superintendent said he had never heard this melody in this country before, but that it is used in Ireland a great deal.",,9/1/1946,Sound,Sound recording,,,iro,,,,,Spatial: Oneida (Wis.),,,https://digital.library.wisc.edu/1711.dl/YHRBPL74TSJQA8W,284,"Oneida, WI, USA",44.475504,-88.243735,success
285,"Jatgato, tune 4","Lord, I'm coming home","Smith, Wallace| Webster, Albert",,Oneida| Voice| Religious,"Oneida - Religious| Melody: ""Lord, I'm coming home.""| Words: #15 in the W.P.A. prepared booklet.",,9/1/1946,Sound,Sound recording,,,iro,,,,,Spatial: Oneida (Wis.),,,https://digital.library.wisc.edu/1711.dl/QUKM7OGFQFRAL8R,285,"Oneida, WI, USA",44.475504,-88.243735,success
286,Je ne vent pas d'un avocat,I do not want a lawyer,"Belisle, Ernest Joseph, b. 1901?",,French-Canadian| Voice,"Canadian French| The girl does not want a lawyer, nor a shoemaker, nor a farmer. She makes up her mind, she wants an officer.",,8/8/1946,Sound,Sound recording,,,fre,,,,,Spatial: Somerset (Wis.),,,https://digital.library.wisc.edu/1711.dl/5EEDFNQGVDIFK8H,286,"Somerset, WI, USA",45.130029,-92.676858,success
287,Jeftanovicero| Officirakocevo| Srbkinja,Officer's song| Old Serbian lady,"TamburiÄa Quartet| EliaÅ¡, Charles, Jr.: Bisernica| EliaÅ¡, Martha: Piano",,Croatian| Tamburica quartet,Kolos - Croatian national dance,,11/15/1940,Sound,Sound recording,,,,,,,,Spatial: Madison (Wis.),,,https://digital.library.wisc.edu/1711.dl/V2NKJZSAI6BDE8T,287,"Madison, WI, USA",43.081309,-89.395609,success
288,Jig,Morton reel,"Brusoe, Leizime, b. 1870?",,Violin| Dances,Old time dance music| Calls it Morton reel because he heard a man named Morton play it.,,8/14/1941,Sound,Sound recording,,,,,,,,Spatial: Rhinelander (Wis.),,,https://digital.library.wisc.edu/1711.dl/4TYVXRNJ6ZEBE8J,288,"Rhinelander, WI, USA",45.644155,-89.400934,success
289,Jim Blake,Midnight Express,"Brown, Noble B., b. 1885?",,Voice| Railroad,"Railway song| Mr. Brown learned this song from his mother. It is older than ""Casey Jones.""",,11/17/1946,Sound,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 209",,,,Spatial: Millville (Wis.),,,https://digital.library.wisc.edu/1711.dl/KES7DEM7ORHO68S,289,"Millville, WI, USA",43.01865,-90.93917,success
290,Jim Bludsoe,,"Dyer, Harry G., b. 1864?",,Spoken| Boatmen| Mississippi River,Mississippi riverman| Recitation of poem.,,8/8/1941,Sound| Text,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 240",,,,Spatial: Madison (Wis.),,,https://digital.library.wisc.edu/1711.dl/KO5E6OUADCNKC8A,290,"Madison, WI, USA",43.081309,-89.395609,success
291,Jordan River I'm bound to cross,,"Richmond, Lily, b. 1862?",,Voice| Spirituals,Negro spiritual,,8/23/1946,Sound,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 62",,,,Spatial: Lancaster (Wis.),,,https://digital.library.wisc.edu/1711.dl/UI5OPJCUOUTYT9D,291,"Lancaster, WI, USA",42.846347,-90.707772,success
292,Jos voisin laulaa kuin lintu voi,If I could sing as the bird sings,"Hayes, Martha Leppanen: Voice| Nukala, Mamie Wirtanen: Piano",,Finnish| Voice and piano,"Finnish folk song| (Oh, could I sing like a bird. But I can neither sing nor fly like a bird. -- I'm sorry, but I cannnot.)| This song may be found in Suomalaisia kansanlauluja, 4 vihko, oy. Fazer, Helsinki.",,9/3/1940,Sound,Sound recording,,,fin,,,,,Spatial: Superior (Wis.),,,https://digital.library.wisc.edu/1711.dl/GRQJH4COTYKL28B,292,"Superior, WI, USA",46.705622,-92.101588,success
293,Julen ai inne,Christmas is here,"Olson, Ruth, b. 1921?| Carlson, Alice, b. 1921?",,Swedish| Vocal duet| Christmas,Swedish Christmas carol,,8/11/1946,Sound,Sound recording,,,swe,,,,,Spatial: Grantsburg (Wis.),,,https://digital.library.wisc.edu/1711.dl/POVDQTGDKQBA384,293,"Grantsburg, WI, USA",45.777786,-92.685056,success
294,Just plain folks,,"Gordon, Bessie, b. 1901?",,Voice| Ballads,Sentimental ballad,,8/13/1941,Sound,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 180",,,,Spatial: Schofield (Wis.),,,https://digital.library.wisc.edu/1711.dl/ILA7UOZ5K62XK8O,294,"Schofield, WI, USA",44.918498,-89.609749,success
295,K'zal van mijn verlosser zingen,I will sing of my Redeemer,"Kok, Dick, b. 1889?| Mulder, Mrs. William",,Voice| Religious,Dutch,,8/27/1946,Sound,Sound recording,,,dut,,,,,Spatial: Brandon (Wis.),,,https://digital.library.wisc.edu/1711.dl/ELFJKXSMEOLOY8G,295,"Brandon, WI, USA",43.736175,-88.781793,success
296,Kaczor,Drake,"Pokora, Stasia",,Polish| Voice| Lullabies,"Polish| This song is a lullaby. The mother is busy among her pots and pans, and wishes the child would sleep, so she sings to him the story about the drake.",,8/29/1946,Sound,Sound recording,,,pol,,,,,Spatial: Milwaukee (Wis.),,,https://digital.library.wisc.edu/1711.dl/AKOFZ4J4535RN9D,296,"Milwaukee, WI, USA",43.063146,-87.948334,success
297,Kajtozas,"Oh no, never","Pokora, Stasia",,Polish| Voice,"Polish| The girl goes to field to watch cattle. The boy friend, Johnny, comes, and they go to pick berries. The cattle stray away to a neighbor's land and are taken by the boss of the next farm. The mother scolds and gives her plenty to remember the episode by. She says to mother, ""If you can do better you tend the cattle.""",,8/29/1946,Sound,Sound recording,,,pol,,,,,Spatial: Milwaukee (Wis.),,,https://digital.library.wisc.edu/1711.dl/VDGDHLS54O44E8N,297,"Milwaukee, WI, USA",43.063146,-87.948334,success
298,Kan du glemme gamle Norge,,"Rindlisbacher, Otto, b. 1901?| Rindlisbacher, Otto, Mrs., b. 1901?",,Viking cello| Loggers,"Lumberjack instrument| Norwegian melody played on a Viking cello. Mrs. Rindlisbacher calls it a Viking cello because Knute Reindahl of Madison, who made one, called it that. Its origin is the lumber camp. Cracker box on a pitch fork or broom stick - probably a Scandinavian idea. Mrs. Rindlisbacher's instrument is made from wood from a chest dated 1722 (Norway spruce). The measurements are taken from Mr. Reindahl's instrument. She uses a violin bow. The instrument has one string. There is a range of three octaves. Different tunings are used. Movable fret was originally piece sawed off a pitch fork handle, with a groove in it.",,8/14/1941,Sound,Sound recording,,,,,,,,Spatial: Rice Lake (Wis.),,,https://digital.library.wisc.edu/1711.dl/52AKL3XFIMS648Z,298,"Rice Lake, WI, USA",45.503769,-91.740829,success
299,Kan du glemme gamle Norge?,Can one forget old Norway?,"Psalmodikon Quartet| Thompson, Elsie, b. 1866?: Soprano| Larson, Bertha, b. 1906?: Alto| Flugstad, Herbert, Mrs., b. 1901?: Tenor| Erickson, Nora, b. 1891?: Bass",,Norwegian| Psalmodikon music,Norwegian folk instrument,,5/16/1941,Sound,Sound recording,,,,,,,,Spatial: Madison (Wis.),,,https://digital.library.wisc.edu/1711.dl/3EKZC7JKAUGRD8O,299,"Madison, WI, USA",43.081309,-89.395609,success
300,Kan du glemme himmel arven,Can you forget your heavenly heritage,"Everson, Alice, b. 1891?",,Norwegian| Voice,Norwegian,,8/16/1946,Sound,Sound recording,,,nor,,,,,Spatial: Blair (Wis.),,,https://digital.library.wisc.edu/1711.dl/BUWQL4PNLS24O8V,300,"Blair, WI, USA",44.296263,-91.225443,success
301,Kasshubian dialect,Kashubian dialect,"Bartosz, Adam, b. 1895?",,Slavic| Voice,"The Kasshubians are fishermen along the Baltic shores.| Story of song: In the nearby valley one can hear a boy singing about his girl. She promised faithfulness and gave him a ring. Later the ring burst in twain which proved her untrue. He sings that he would go into the world from city to city, from house to house telling of his sorrow.",,8/11/1941,Sound,Sound recording,,,csb,,,,,Spatial: Stevens Point (Wis.),,,https://digital.library.wisc.edu/1711.dl/5LXWHU4JDELDS8Q,301,"Stevens Point, WI, USA",44.51956,-89.573683,success
302,Kattyglo visa,,"Everson, Alice, b. 1891?",,Norwegian| Voice| Ballads,Norwegian| [This] song is an owl ballad.,,8/16/1946,Sound,Sound recording,,,nor,,,,,Spatial: Blair (Wis.),,,https://digital.library.wisc.edu/1711.dl/MGKL4HYPDD34O9C,302,"Blair, WI, USA",44.296263,-91.225443,success
303,Kdyr jsem Å¡el ÄestiÄkou,As I walked that narrow path,"McClure, George, Mrs., b. 1906?|  Doser, Mayme, b. 1906?",,Bohemian| Vocal duet,Bohemian| As I walked that narrow path:| I met a girl - I asked her to marry me.| She said in about a year or two.| Then came a warning to leave for the mother slept next door.,,8/19/1941,Sound,Sound recording,,,cze,,,,,Spatial: Prairie du Chien (Wis.),,,https://digital.library.wisc.edu/1711.dl/6YDYKICJR5YDL9A,303,"Prairie du Chien, WI, USA",43.042549,-91.141425,success
304,Keeping the working man down,,"Humphries, Henry, b. 1865?",,Voice| Working class,Workman's song,,7/22/1941,Sound| Text,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 84",,,,Spatial: Hancock (Wis.),,,https://digital.library.wisc.edu/1711.dl/D5CBFWJFLSSGF8U,304,"Hancock, WI, USA",44.13365,-89.521554,success
306,Ker Jidder f'ru singer Dir,,"Becker, Jacob C., b. 1872?","Becker, Nicolas Edouard, 1842-1920: Translator| Becker, Nicolas Edouard, 1842-1920: Adaptor",Luxemburg| Voice,"Luxemburger| This is Nicholas E. Becker's translation and adaptation of the song ""Paddle your own canoe,"" into [Luxembourgish].",,8/30/1946,Sound,Sound recording,,,ltz,,,,,Spatial: Belgium (Wis.),,,https://digital.library.wisc.edu/1711.dl/CQ235YU2Y3U568H,306,"Belgium, WI, USA",43.500499,-87.845446,success
307,KesÃ¤-Ilta,Summer evening,"Nukala, Jalmar: Voice| Nukala, Mamie Wirtanen: Piano",,Finnish| Voice and piano,Finnish folk song (complete),,9/3/1940,Sound,Sound recording,,,fin,,,,,Spatial: Superior (Wis.),,,https://digital.library.wisc.edu/1711.dl/ET4BZRDH2MK3M8J,307,"Superior, WI, USA",46.705622,-92.101588,success
308,KesÃ¤ilta,Summer evening,"Nukala, Jalmar: Voice| Nukala, Mamie Wirtanen: Piano",,Finnish| Voice and piano,"Finnish folk song (incomplete)| See record [AFS 4192 B1] for the complete song.| #19 in 54 suomalaisia kansanlaulua, vihko I (Armas Maasalo).",,9/3/1940,Sound,Sound recording,,,fin,,,,,Spatial: Superior (Wis.),,,https://digital.library.wisc.edu/1711.dl/4NCOMLT5KPJHI8Y,308,"Superior, WI, USA",46.705622,-92.101588,success
309,Keyhole in the door,,"Moody, Lewis Winfield, b. 1865?",,Voice| Bawdy songs,Genteel vulgar,,7/21/1941,Sound| Text,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 294",,,,Spatial: Plainfield (Wis.),,,https://digital.library.wisc.edu/1711.dl/BH35SK66DFW7586,309,"Plainfield, WI, USA",44.213709,-89.494963,success
311,Kitty Grauss,Kitty Strauss (?),"Humphries, Henry, b. 1865?",,Voice,"Immigrant| Former lumberjack in Prentice, Wis.",,7/22/1941,Sound,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 46",,,,Spatial: Hancock (Wis.),,,https://digital.library.wisc.edu/1711.dl/VZ33Z3BZFGECQ8Z,311,"Hancock, WI, USA",44.13365,-89.521554,success
312,Kitty Morey,,"Bundy, Winifred, b. 1884?",,Voice| Bawdy songs,"Risque| Miss Bundy learned this song from brother Ned. She used to sing it at school when a very little girl and wondered why the boys liked it so well, until her older sister found out she was singing it and put a stop to it.",,7/23/1946,Sound| Text,Sound recording,,,eng,,,,,Spatial: Madison (Wis.),,,https://digital.library.wisc.edu/1711.dl/TE2BFI6KHGPBP8F,312,"Madison, WI, USA",43.081309,-89.395609,success
315,Kitty Wells,,"Coffee, Lester A., b. 1871?",,Voice| Ballads,Sentimental ballad| Very old song.,,8/20/1946,Sound| Text,Sound recording,,,eng,"Peters, Harry B. (editor). Folk Songs out of Wisconsin. Madison : State Historical Society of Wisconsin, 1977, p. 125",,,,Spatial: Harvard (Ill.),,,https://digital.library.wisc.edu/1711.dl/7KKHLMI2UTJTA8N,315,"Harvard, IL, USA",42.420737,-88.613519,success
316,Kjoelstad visen,KjÃ¸lstad visen,"Everson, Alice, b. 1891?",,Norwegian| Voice| Ballads,Norwegian| This ballad is about the peasants of Norway.,,8/16/1946,Sound,Sound recording,,,nor,,,,,Spatial: Blair (Wis.),,,https://digital.library.wisc.edu/1711.dl/KCD36VNI3KI5U8K,316,"Blair, WI, USA",44.296263,-91.225443,success
317,Klewien van der erlaweh vlag,,"Kok, Dick, b. 1889?",,Voice,Dutch| [Includes continuation of AFS 8440 B5],,8/27/1946,Sound,Sound recording,,,dut,,,,,Spatial: Brandon (Wis.),,,https://digital.library.wisc.edu/1711.dl/E5ALKRJMFIGBD86,317,"Brandon, WI, USA",43.736175,-88.781793,success
318,"KolinÃ©, KolinÃ©",,"Wachuta, Albert, b. 1875?",,Voice and accordion,Bohemian| Name of a beautiful little town. Mr. Wachuta was born in Prairie du Chien. He learned all his songs by ear from his mother and other Bohemian immigrants. He has been playing accordion since about twelve and has played it at dances in the community for years.,,8/19/1941,Sound,Sound recording,,,cze,,,,,Spatial: Prairie du Chien (Wis.),,,https://digital.library.wisc.edu/1711.dl/HFLRHPLZ3T3UA8K,318,"Prairie du Chien, WI, USA",43.042549,-91.141425,success
320,Kom kjyra,"Come, Bossy","Everson, Alice, b. 1891?",,Norwegian| Voice| Children,Norwegian| Child's song,,8/16/1946,Sound,Sound recording,,,nor,,,,,Spatial: Blair (Wis.),,,https://digital.library.wisc.edu/1711.dl/QIFQYDISWD3HL8R,320,"Blair, WI, USA",44.296263,-91.225443,success
321,"Kom, laa us nu paa Bornens","Come, let us go in the childish way","Moll, Mildred N., b. 1900?",,Danish| Voice,Danish,,8/26/1946,Sound,Sound recording,,,dan,,,,,Spatial: Madison (Wis.),,,https://digital.library.wisc.edu/1711.dl/SI7IPF4XYEJWD8H,321,"Madison, WI, USA",43.081309,-89.395609,success
322,Koraleczki,My corals,"Pokora, Stasia",,Polish| Voice,"Polish| She says, ""I have lost my corals. If you will find them for me, Johnny, I might give you a kiss. It won't hurt me, and my corals look very pretty on me.""",,8/29/1946,Sound,Sound recording,,,pol,,,,,Spatial: Milwaukee (Wis.),,,https://digital.library.wisc.edu/1711.dl/SE7G3HTRGFP6484,322,"Milwaukee, WI, USA",43.063146,-87.948334,success
323,Kosten valse,,"Jotblod, Abel, b. 1896?",,Swedish| Voice,Swedish,,8/11/1946,Sound,Sound recording,,,swe,,,,,Spatial: Grantsburg (Wis.),,,https://digital.library.wisc.edu/1711.dl/EZALVIRAJVZL68P,323,"Grantsburg, WI, USA",45.777786,-92.685056,success
